word,allcount,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,,全ての章で使っているか
heavy,5,0,3,0,0,0,0,0,0,1,0,0,0,1,,FALSE
enough,5,0,2,0,0,0,0,2,0,0,0,1,0,0,,FALSE
exhausted,5,0,1,0,0,0,2,0,0,1,0,0,0,1,,FALSE
acquainted,5,0,1,0,0,0,0,1,2,0,0,1,0,0,,FALSE
food,5,0,1,0,0,0,1,0,0,2,0,1,0,0,,FALSE
defeating,5,0,1,0,4,0,0,0,0,0,0,0,0,0,,FALSE
flags,5,0,1,0,0,0,0,3,0,1,0,0,0,0,,FALSE
armies,5,0,1,0,0,0,0,0,1,1,1,0,0,1,,FALSE
destroy,5,0,0,3,0,1,0,0,0,0,0,1,0,0,,FALSE
battles,5,0,0,2,1,0,0,0,0,0,1,0,1,0,,FALSE
cities,5,0,0,3,0,0,0,0,0,0,0,2,0,0,,FALSE
three,5,0,0,3,0,0,0,1,0,0,0,1,0,0,,FALSE
still,5,0,0,1,0,0,0,1,0,1,1,1,0,0,,FALSE
numbers,5,0,0,1,0,1,2,0,0,1,0,0,0,0,,FALSE
end,5,0,0,1,0,2,0,0,0,1,0,0,0,1,,FALSE
same,5,0,0,2,0,1,0,1,0,0,0,1,0,0,,FALSE
principle,5,0,0,1,0,1,1,0,0,0,0,2,0,0,,FALSE
simply,5,0,0,1,0,1,0,0,0,1,0,0,1,1,,FALSE
spirit,5,0,0,1,0,0,0,3,0,0,0,0,1,0,,FALSE
gained,5,0,0,1,0,0,1,0,0,1,0,1,1,0,,FALSE
tactical,5,0,0,0,1,1,1,2,0,0,0,0,0,0,,FALSE
put,5,0,0,0,1,0,0,0,0,0,0,2,1,1,,FALSE
ourselves,5,0,0,0,2,0,1,0,1,0,0,1,0,0,,FALSE
hands,5,0,0,0,1,0,1,1,1,0,0,1,0,0,,FALSE
certain,5,0,0,0,1,0,0,0,0,1,0,0,0,3,,FALSE
secret,5,0,0,0,1,0,0,0,0,0,0,1,0,3,,FALSE
large,5,0,0,0,0,2,0,1,0,0,0,2,0,0,,FALSE
question,5,0,0,0,0,3,0,0,0,1,0,1,0,0,,FALSE
different,5,0,0,0,0,1,1,1,0,1,0,1,0,0,,FALSE
remain,5,0,0,0,0,2,0,0,0,1,0,0,1,1,,FALSE
indirect,5,0,0,0,0,5,0,0,0,0,0,0,0,0,,FALSE
begin,5,0,0,0,0,1,0,0,0,2,0,1,0,1,,FALSE
each,5,0,0,0,0,1,1,0,0,0,0,2,0,1,,FALSE
wait,5,0,0,0,0,1,0,1,0,1,1,0,1,0,,FALSE
nature,5,0,0,0,0,1,1,0,0,0,2,1,0,0,,FALSE
down,5,0,0,0,0,2,0,0,0,0,0,2,0,1,,FALSE
positions,5,0,0,0,0,0,1,0,2,0,1,1,0,0,,FALSE
attacked,5,0,0,0,0,0,1,0,1,0,0,3,0,0,,FALSE
behind,5,0,0,0,0,0,1,1,0,1,0,2,0,0,,FALSE
possible,5,0,0,0,0,0,2,0,0,1,0,0,2,0,,FALSE
number,5,0,0,0,0,0,1,0,0,2,0,2,0,0,,FALSE
nothing,5,0,0,0,0,0,1,1,0,0,0,3,0,0,,FALSE
succeed,5,0,0,0,0,0,1,1,1,0,0,1,1,0,,FALSE
always,5,0,0,0,0,0,1,0,1,1,0,0,1,1,,FALSE
days,5,0,0,0,0,0,1,0,0,0,0,0,4,0,,FALSE
maneuvering,5,0,0,0,0,0,0,5,0,0,0,0,0,0,,FALSE
commands,5,0,0,0,0,0,0,1,2,1,1,0,0,0,,FALSE
purpose,5,0,0,0,0,0,0,1,0,0,1,3,0,0,,FALSE
local,5,0,0,0,0,0,0,1,0,0,0,1,0,3,,FALSE
amongst,5,0,0,0,0,0,0,2,0,2,0,0,1,0,,FALSE
banners,5,0,0,0,0,0,0,4,0,1,0,0,0,0,,FALSE
flight,5,0,0,0,0,0,0,1,0,1,2,1,0,0,,FALSE
hemmed-in,5,0,0,0,0,0,0,0,1,0,0,4,0,0,,FALSE
get,5,0,0,0,0,0,0,0,0,5,0,0,0,0,,FALSE
condition,5,0,0,0,0,0,0,0,0,1,3,0,0,1,,FALSE
facile,5,0,0,0,0,0,0,0,0,0,0,5,0,0,,FALSE
intersecting,5,0,0,0,0,0,0,0,0,0,0,5,0,0,,FALSE
serious,5,0,0,0,0,0,0,0,0,0,0,5,0,0,,FALSE
either,4,1,0,0,0,0,0,1,0,1,0,1,0,0,,FALSE
safety,4,1,0,0,0,0,1,0,0,1,0,1,0,0,,FALSE
moral,4,3,0,0,1,0,0,0,0,0,0,0,0,0,,FALSE
law,4,3,0,0,1,0,0,0,0,0,0,0,0,0,,FALSE
follow,4,1,0,0,0,0,0,0,0,0,2,0,1,0,,FALSE
rank,4,1,0,0,0,0,0,0,0,2,1,0,0,0,,FALSE
acts,4,2,0,0,0,0,0,0,0,0,0,1,0,1,,FALSE
upon,4,2,0,1,0,0,0,0,0,0,1,0,0,0,,FALSE
according,4,1,0,0,0,1,2,0,0,0,0,0,0,0,,FALSE
prepared,4,1,0,1,0,0,0,0,0,0,1,0,1,0,,FALSE
ease,4,1,0,0,1,0,1,1,0,0,0,0,0,0,,FALSE
give,4,1,0,0,0,2,0,0,0,0,1,0,0,0,,FALSE
united,4,1,0,0,0,0,1,1,0,0,0,1,0,0,,FALSE
calculations,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
lead,4,1,0,0,0,1,0,1,0,0,0,1,0,0,,FALSE
carry,4,0,1,0,0,0,0,1,0,0,0,0,1,1,,FALSE
home,4,0,2,0,0,0,0,1,0,0,0,0,0,1,,FALSE
again,4,0,1,0,0,0,0,0,0,1,0,0,1,1,,FALSE
resources,4,0,1,0,0,0,0,0,0,1,0,0,1,1,,FALSE
seen,4,0,1,0,0,1,0,1,0,1,0,0,0,0,,FALSE
second,4,0,1,0,0,0,2,0,0,0,0,0,1,0,,FALSE
go,4,0,1,0,0,1,0,0,0,1,1,0,0,0,,FALSE
cause,4,0,1,0,0,0,1,0,1,0,0,0,0,1,,FALSE
kept,4,0,1,0,0,0,0,0,0,1,0,0,2,0,,FALSE
known,4,0,1,0,0,0,2,0,0,0,0,0,1,0,,FALSE
whether,4,0,1,0,0,0,0,1,0,0,1,0,0,1,,FALSE
stratagem,4,0,0,2,0,0,0,0,1,0,0,1,0,0,,FALSE
capture,4,0,0,1,0,0,0,1,1,0,0,1,0,0,,FALSE
excellence,4,0,0,2,2,0,0,0,0,0,0,0,0,0,,FALSE
prevent,4,0,0,1,0,0,2,0,0,0,0,1,0,0,,FALSE
rule,4,0,0,2,0,0,0,0,0,0,0,2,0,0,,FALSE
kingdom,4,0,0,2,0,0,0,0,0,0,1,0,1,0,,FALSE
inferior,4,0,0,2,0,0,1,0,0,0,1,0,0,0,,FALSE
sure,4,0,0,1,0,0,1,0,0,1,1,0,0,0,,FALSE
saying,4,0,0,1,1,0,0,0,0,0,1,0,1,0,,FALSE
need,4,0,0,1,0,0,2,0,0,0,0,1,0,0,,FALSE
fighter,4,0,0,0,3,1,0,0,0,0,0,0,0,0,,FALSE
